,category,customer_type,unit_price,quantity,total,payment_type,lvl_estoque_past,lvl_estoque_to_predict,mean,median,min,max,std,var,day_of_week,is_weekend,hour,turn
53,beverages,premium,13.19,2,26.38,credit card,0.52,0.51,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
54,beverages,premium,15.19,3,45.57,debit card,0.13,0.94,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
55,beverages,non-member,15.99,4,63.96,debit card,0.78,0.75,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
56,dairy,non-member,6.49,1,6.49,debit card,0.89,0.68,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
57,dairy,non-member,5.99,1,5.99,e-wallet,0.88,0.79,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
58,dairy,gold,9.49,2,18.98,credit card,0.8,0.92,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
59,dairy,gold,8.19,3,24.57,cash,0.36,0.96,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
60,cheese,standard,6.49,4,25.96,debit card,0.31,0.6,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
61,cheese,gold,5.99,4,23.96,e-wallet,0.03,0.31,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
62,cheese,non-member,4.99,4,19.96,e-wallet,1.0,0.25,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
63,meat,gold,20.49,4,81.96,debit card,0.52,0.61,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
64,meat,premium,11.99,1,11.99,e-wallet,0.34,0.09,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
65,seafood,non-member,17.99,3,53.97,debit card,0.9,0.36,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
66,seafood,gold,18.49,1,18.49,e-wallet,0.7,0.4,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
67,seafood,gold,20.49,1,20.49,credit card,0.62,0.07,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
68,baked goods,premium,10.19,3,30.57,credit card,0.9,0.49,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
69,baked goods,non-member,9.99,3,29.97,cash,0.64,0.45,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
70,baked goods,basic,8.99,1,8.99,credit card,0.4,0.79,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
71,baked goods,basic,7.99,2,15.98,e-wallet,0.74,0.08,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
72,baked goods,gold,4.19,3,12.57,debit card,0.83,0.92,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
73,baking,standard,7.99,2,15.98,credit card,0.07,0.56,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
74,baking,standard,7.99,1,7.99,e-wallet,0.07,0.56,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
75,baking,standard,5.99,2,11.98,debit card,0.62,0.74,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
76,snacks,standard,1.99,2,3.98,cash,0.76,0.47,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
77,snacks,premium,0.19,3,0.5700000000000001,debit card,0.37,0.57,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
78,baby products,premium,15.99,4,63.96,e-wallet,0.57,0.62,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
79,baby products,standard,12.99,4,51.96,credit card,0.37,0.64,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
80,baby products,non-member,15.99,4,63.96,cash,0.57,0.62,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
81,baby products,basic,12.49,3,37.47,credit card,0.49,0.21,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
82,pets,standard,11.19,4,44.76,credit card,0.88,0.6,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
83,pets,gold,9.49,1,9.49,cash,0.34,0.76,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
84,pets,non-member,9.49,2,18.98,cash,0.78,0.13,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
85,pets,gold,8.49,2,16.98,debit card,0.57,0.85,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
86,personal care,gold,10.99,1,10.99,cash,0.35,0.76,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
87,medicine,premium,19.99,3,59.97,cash,0.86,0.6,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
88,medicine,standard,11.49,3,34.47,debit card,0.27,0.6,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
89,medicine,non-member,10.19,3,30.57,debit card,0.77,0.45,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
90,kitchen,gold,15.49,2,30.98,credit card,0.94,0.3,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
91,kitchen,premium,10.49,3,31.47,debit card,0.18,0.95,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
92,kitchen,non-member,16.19,1,16.19,debit card,0.83,0.96,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
93,kitchen,non-member,18.19,2,36.38,credit card,0.95,0.1,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
94,kitchen,basic,11.19,4,44.76,credit card,0.49,0.87,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
95,kitchen,standard,10.49,3,31.47,e-wallet,0.18,0.95,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
96,cleaning products,premium,16.49,1,16.49,credit card,0.55,0.95,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
97,cleaning products,non-member,14.19,3,42.57,e-wallet,0.77,0.21,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning
98,fruit,standard,3.99,1,3.99,e-wallet,0.63,0.21,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
99,fruit,basic,4.99,2,9.98,e-wallet,0.22,0.84,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
100,fruit,premium,3.99,1,3.99,cash,0.31,0.05,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
101,fruit,gold,0.49,4,1.96,e-wallet,0.04,0.76,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
102,fruit,basic,4.99,4,19.96,credit card,0.22,0.84,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
103,fruit,basic,0.19,2,0.38,credit card,0.13,0.43,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
104,fruit,gold,3.99,4,15.96,debit card,0.63,0.21,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
105,fruit,non-member,4.99,4,19.96,e-wallet,0.22,0.84,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
106,fruit,standard,0.49,1,0.49,e-wallet,0.04,0.76,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
107,fruit,gold,1.49,4,5.96,debit card,0.66,0.36,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
108,fruit,gold,0.19,4,0.76,credit card,0.29,0.59,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
109,fruit,gold,4.49,1,4.49,credit card,0.36,0.91,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
110,fruit,gold,3.99,1,3.99,debit card,0.31,0.05,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
111,fruit,gold,3.99,1,3.99,credit card,0.85,0.67,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
112,fruit,non-member,0.19,4,0.76,cash,0.13,0.43,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
113,vegetables,gold,1.19,1,1.19,e-wallet,0.57,0.4,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
114,vegetables,standard,4.19,2,8.38,e-wallet,0.41,0.48,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
115,vegetables,gold,1.19,3,3.57,credit card,0.57,0.4,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
116,vegetables,non-member,4.19,1,4.19,credit card,0.41,0.48,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
117,vegetables,standard,0.49,4,1.96,credit card,0.7,0.35,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
118,vegetables,premium,2.49,2,4.98,credit card,0.83,0.12,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
119,vegetables,premium,1.99,4,7.96,cash,0.1,0.72,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
120,vegetables,premium,1.99,1,1.99,cash,0.1,0.72,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
121,vegetables,non-member,4.99,2,9.98,credit card,0.5,0.18,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
122,vegetables,gold,4.49,3,13.47,debit card,0.73,0.76,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
123,refrigerated items,standard,6.49,3,19.47,debit card,0.75,0.88,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
124,refrigerated items,basic,3.49,4,13.96,debit card,0.11,0.48,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
125,refrigerated items,premium,10.99,2,21.98,credit card,0.98,0.04,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
126,refrigerated items,non-member,8.19,3,24.57,cash,0.86,0.02,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
127,refrigerated items,non-member,5.99,4,23.96,e-wallet,0.06,0.76,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
128,refrigerated items,gold,5.99,4,23.96,credit card,0.58,0.38,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
129,frozen,non-member,9.49,1,9.49,debit card,0.27,0.86,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
130,spices and herbs,gold,5.49,4,21.96,credit card,0.33,0.67,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
131,spices and herbs,standard,0.49,1,0.49,debit card,0.78,0.79,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
132,spices and herbs,standard,4.99,1,4.99,e-wallet,1.0,0.33,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
133,canned foods,non-member,3.49,2,6.98,e-wallet,0.2,0.76,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
134,canned foods,non-member,8.99,3,26.97,debit card,0.6,0.14,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
135,canned foods,basic,8.19,4,32.76,debit card,0.53,0.78,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
136,canned foods,non-member,8.99,2,17.98,e-wallet,0.27,0.82,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
137,canned foods,basic,7.49,2,14.98,e-wallet,0.98,0.92,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
138,canned foods,premium,7.49,1,7.49,cash,0.98,0.92,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
139,packaged foods,non-member,5.49,4,21.96,cash,0.85,0.24,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
140,packaged foods,standard,6.99,2,13.98,credit card,0.93,0.84,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
141,packaged foods,basic,2.99,3,8.97,credit card,0.16,0.83,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
142,packaged foods,basic,8.49,2,16.98,debit card,0.03,0.43,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
143,packaged foods,basic,6.19,1,6.19,e-wallet,0.81,0.05,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
144,packaged foods,standard,2.99,4,11.96,cash,0.16,0.83,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
145,packaged foods,premium,3.49,2,6.98,cash,0.42,0.39,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
146,packaged foods,premium,7.19,2,14.38,cash,0.09,0.01,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
147,condiments and sauces,premium,4.49,3,13.47,cash,0.19,0.88,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
148,condiments and sauces,gold,9.49,1,9.49,cash,0.27,0.5,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
149,condiments and sauces,standard,4.99,2,9.98,cash,0.49,0.06,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
150,condiments and sauces,non-member,5.49,3,16.47,debit card,0.24,0.37,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
151,beverages,non-member,14.49,3,43.47,credit card,0.63,0.03,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
152,beverages,non-member,13.19,4,52.76,debit card,0.77,0.45,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
153,beverages,standard,13.19,1,13.19,e-wallet,0.77,0.45,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
154,beverages,basic,11.49,4,45.96,cash,0.73,0.5,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
155,beverages,gold,14.19,1,14.19,debit card,0.27,0.56,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
156,beverages,standard,13.19,4,52.76,e-wallet,0.77,0.45,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
157,dairy,standard,7.19,2,14.38,e-wallet,0.78,0.48,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
158,dairy,standard,9.49,4,37.96,e-wallet,0.17,0.56,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
159,dairy,non-member,6.49,4,25.96,e-wallet,0.86,0.73,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
160,dairy,standard,9.49,1,9.49,debit card,0.49,0.86,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
161,cheese,standard,5.99,2,11.98,e-wallet,0.59,0.6,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
162,cheese,premium,5.99,3,17.97,debit card,0.59,0.6,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
163,cheese,standard,6.49,2,12.98,e-wallet,0.4,0.56,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
164,meat,non-member,14.99,1,14.99,debit card,0.33,0.51,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
165,meat,premium,12.19,4,48.76,cash,0.48,0.78,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
166,meat,premium,11.99,4,47.96,credit card,0.37,0.58,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
167,meat,standard,14.99,1,14.99,credit card,0.33,0.51,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
168,meat,gold,16.19,1,16.19,debit card,0.08,0.34,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning
