,category,customer_type,unit_price,quantity,total,payment_type,lvl_estoque_past,mean,median,min,max,std,var,day_of_week,is_weekend,hour,turn,predicao
46,packaged foods,standard,2.99,3,8.97,credit card,0.62,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5163376672760753
47,packaged foods,standard,3.49,3,10.47,cash,0.12,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5214024630495305
48,packaged foods,basic,8.49,1,8.49,credit card,0.38,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.511026387233517
49,packaged foods,non-member,5.49,3,16.47,cash,0.38,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5199622633500186
50,condiments and sauces,basic,8.49,4,33.96,cash,0.99,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5168505467284449
51,condiments and sauces,basic,5.19,3,15.57,e-wallet,0.65,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5198547011681475
52,condiments and sauces,basic,4.19,2,8.38,debit card,0.8,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5212899565792473
53,beverages,premium,13.19,2,26.38,credit card,0.52,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5120865752129157
54,beverages,premium,15.19,3,45.57,debit card,0.13,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5189671842564444
55,beverages,non-member,15.99,4,63.96,debit card,0.78,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5155276850636141
56,dairy,non-member,6.49,1,6.49,debit card,0.89,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5180712437588346
57,dairy,non-member,5.99,1,5.99,e-wallet,0.88,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5186126389931359
58,dairy,gold,9.49,2,18.98,credit card,0.8,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5136552745526799
59,dairy,gold,8.19,3,24.57,cash,0.36,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5206144377171381
60,cheese,standard,6.49,4,25.96,debit card,0.31,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5126348562975206
61,cheese,gold,5.99,4,23.96,e-wallet,0.03,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5187996356845097
62,cheese,non-member,4.99,4,19.96,e-wallet,1.0,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5154189596738366
63,meat,gold,20.49,4,81.96,debit card,0.52,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5142819932647976
64,meat,premium,11.99,1,11.99,e-wallet,0.34,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5162170524065361
65,seafood,non-member,17.99,3,53.97,debit card,0.9,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5092182293912313
66,seafood,gold,18.49,1,18.49,e-wallet,0.7,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5135040162420914
67,seafood,gold,20.49,1,20.49,credit card,0.62,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5019964905786055
68,baked goods,premium,10.19,3,30.57,credit card,0.9,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5158844324641881
69,baked goods,non-member,9.99,3,29.97,cash,0.64,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.516172732921444
70,baked goods,basic,8.99,1,8.99,credit card,0.4,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5092757766663195
71,baked goods,basic,7.99,2,15.98,e-wallet,0.74,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5209598239588501
72,baked goods,gold,4.19,3,12.57,debit card,0.83,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5308449398565583
73,baking,standard,7.99,2,15.98,credit card,0.07,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5108015722288751
74,baking,standard,7.99,1,7.99,e-wallet,0.07,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5199435073028731
75,baking,standard,5.99,2,11.98,debit card,0.62,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5237743678820723
76,snacks,standard,1.99,2,3.98,cash,0.76,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.523955344906312
77,snacks,premium,0.19,3,0.5700000000000001,debit card,0.37,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5306176151353097
78,baby products,premium,15.99,4,63.96,e-wallet,0.57,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5191386158996756
79,baby products,standard,12.99,4,51.96,credit card,0.37,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5057636329226375
80,baby products,non-member,15.99,4,63.96,cash,0.57,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5109517898383245
81,baby products,basic,12.49,3,37.47,credit card,0.49,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5061223746326778
82,pets,standard,11.19,4,44.76,credit card,0.88,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5074029971040157
83,pets,gold,9.49,1,9.49,cash,0.34,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5196954317948143
84,pets,non-member,9.49,2,18.98,cash,0.78,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5139689545550764
85,pets,gold,8.49,2,16.98,debit card,0.57,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.523595130168746
86,personal care,gold,10.99,1,10.99,cash,0.35,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5220019761389223
87,medicine,premium,19.99,3,59.97,cash,0.86,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5159709762051748
88,medicine,standard,11.49,3,34.47,debit card,0.27,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5167778854948378
89,medicine,non-member,10.19,3,30.57,debit card,0.77,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5187428036535232
90,kitchen,gold,15.49,2,30.98,credit card,0.94,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5107282370300178
91,kitchen,premium,10.49,3,31.47,debit card,0.18,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5202889392046575
92,kitchen,non-member,16.19,1,16.19,debit card,0.83,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5102754330424469
93,kitchen,non-member,18.19,2,36.38,credit card,0.95,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5007728261809798
94,kitchen,basic,11.19,4,44.76,credit card,0.49,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5070556596615136
95,kitchen,standard,10.49,3,31.47,e-wallet,0.18,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5150794880409262
96,cleaning products,premium,16.49,1,16.49,credit card,0.55,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5141329575348442
97,cleaning products,non-member,14.19,3,42.57,e-wallet,0.77,-0.6729003021148036,-1.26,-30.58,34.33,11.456305451281429,131.24693459306056,2,no,9,morning,0.5217687916466791
98,fruit,standard,3.99,1,3.99,e-wallet,0.63,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49920394145467767
99,fruit,basic,4.99,2,9.98,e-wallet,0.22,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49674918364503323
100,fruit,premium,3.99,1,3.99,cash,0.31,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.501336050156867
101,fruit,gold,0.49,4,1.96,e-wallet,0.04,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.5053846478156192
102,fruit,basic,4.99,4,19.96,credit card,0.22,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4871769659423145
103,fruit,basic,0.19,2,0.38,credit card,0.13,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49122667042886153
104,fruit,gold,3.99,4,15.96,debit card,0.63,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.5051805316512769
105,fruit,non-member,4.99,4,19.96,e-wallet,0.22,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49540408186366547
106,fruit,standard,0.49,1,0.49,e-wallet,0.04,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.500332979230386
107,fruit,gold,1.49,4,5.96,debit card,0.66,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.506946498093117
108,fruit,gold,0.19,4,0.76,credit card,0.29,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49722227177822853
109,fruit,gold,4.49,1,4.49,credit card,0.36,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49519841874764187
110,fruit,gold,3.99,1,3.99,debit card,0.31,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.5046849247804636
111,fruit,gold,3.99,1,3.99,credit card,0.85,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4975130939058751
112,fruit,non-member,0.19,4,0.76,cash,0.13,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4962622817855483
113,vegetables,gold,1.19,1,1.19,e-wallet,0.57,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.5113555898387869
114,vegetables,standard,4.19,2,8.38,e-wallet,0.41,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.5008939850341215
115,vegetables,gold,1.19,3,3.57,credit card,0.57,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.5010403971894727
116,vegetables,non-member,4.19,1,4.19,credit card,0.41,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4909141701959896
117,vegetables,standard,0.49,4,1.96,credit card,0.7,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4946999017513545
118,vegetables,premium,2.49,2,4.98,credit card,0.83,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4999383918429527
119,vegetables,premium,1.99,4,7.96,cash,0.1,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.5040882276889065
120,vegetables,premium,1.99,1,1.99,cash,0.1,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.505379075575069
121,vegetables,non-member,4.99,2,9.98,credit card,0.5,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4903509017246715
122,vegetables,gold,4.49,3,13.47,debit card,0.73,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.5083318034974083
123,refrigerated items,standard,6.49,3,19.47,debit card,0.75,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49610516159978424
124,refrigerated items,basic,3.49,4,13.96,debit card,0.11,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4958734601807521
125,refrigerated items,premium,10.99,2,21.98,credit card,0.98,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4892162072558984
126,refrigerated items,non-member,8.19,3,24.57,cash,0.86,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49245280907624717
127,refrigerated items,non-member,5.99,4,23.96,e-wallet,0.06,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49306296150560536
128,refrigerated items,gold,5.99,4,23.96,credit card,0.58,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4933938302292692
129,frozen,non-member,9.49,1,9.49,debit card,0.27,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4921627864949345
130,spices and herbs,gold,5.49,4,21.96,credit card,0.33,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4961385630848877
131,spices and herbs,standard,0.49,1,0.49,debit card,0.78,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.5052778548123237
132,spices and herbs,standard,4.99,1,4.99,e-wallet,1.0,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.5019083246192111
133,canned foods,non-member,3.49,2,6.98,e-wallet,0.2,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4973641927210003
134,canned foods,non-member,8.99,3,26.97,debit card,0.6,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4943035354922964
135,canned foods,basic,8.19,4,32.76,debit card,0.53,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49589530281934746
136,canned foods,non-member,8.99,2,17.98,e-wallet,0.27,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4929136636987758
137,canned foods,basic,7.49,2,14.98,e-wallet,0.98,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49793239305072445
138,canned foods,premium,7.49,1,7.49,cash,0.98,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.5009827191984304
139,packaged foods,non-member,5.49,4,21.96,cash,0.85,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49953603729126544
140,packaged foods,standard,6.99,2,13.98,credit card,0.93,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4923044984443789
141,packaged foods,basic,2.99,3,8.97,credit card,0.16,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4926866493109105
142,packaged foods,basic,8.49,2,16.98,debit card,0.03,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49701536299350024
143,packaged foods,basic,6.19,1,6.19,e-wallet,0.81,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.5020322501292657
144,packaged foods,standard,2.99,4,11.96,cash,0.16,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49949905281687484
145,packaged foods,premium,3.49,2,6.98,cash,0.42,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.5060215665068026
146,packaged foods,premium,7.19,2,14.38,cash,0.09,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.5016136063857273
147,condiments and sauces,premium,4.49,3,13.47,cash,0.19,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4997185296729783
148,condiments and sauces,gold,9.49,1,9.49,cash,0.27,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49708834688953946
149,condiments and sauces,standard,4.99,2,9.98,cash,0.49,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49528985155805694
150,condiments and sauces,non-member,5.49,3,16.47,debit card,0.24,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4948164876229249
151,beverages,non-member,14.49,3,43.47,credit card,0.63,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4838684998349382
152,beverages,non-member,13.19,4,52.76,debit card,0.77,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49524163211384287
153,beverages,standard,13.19,1,13.19,e-wallet,0.77,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4942461197485784
154,beverages,basic,11.49,4,45.96,cash,0.73,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.495409657821304
155,beverages,gold,14.19,1,14.19,debit card,0.27,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.498097491729425
156,beverages,standard,13.19,4,52.76,e-wallet,0.77,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4962400032052592
157,dairy,standard,7.19,2,14.38,e-wallet,0.78,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.49596650074806864
158,dairy,standard,9.49,4,37.96,e-wallet,0.17,-0.3654071661237785,-1.17,-30.82,33.87,11.040743028198769,121.89800661471973,6,yes,10,morning,0.4923141389513613
